Department_new,n_theses,mean_nn_similarity,median_nn_similarity
DTU Aqua,109,0.76734024,0.77642787
DTU Bioengineering,243,0.7903471,0.80248225
DTU Chemical Engineering,187,0.7830736,0.79272825
DTU Chemistry,91,0.80825394,0.8004392
DTU Compute,1195,0.7483622,0.7542922
DTU Construct,1014,0.8058662,0.8065542
DTU Electro,679,0.76681083,0.7703577
DTU Energy,106,0.764147,0.7717612
DTU Engineering Technology,25,0.7554574,0.7612003
DTU Food,159,0.76693195,0.78414154
DTU Health Tech,458,0.7690697,0.77333295
DTU Management,633,0.77144146,0.7773217
DTU Physics,123,0.76124686,0.76875395
DTU Space,228,0.77039844,0.774477
DTU Sustain,434,0.800577,0.8002777
DTU Wind,531,0.82874805,0.83851826
