cluster_id,cluster_size,number_of_publishers,publisher_entropy
-1,1488,16,2.3621533431947954
52,17,5,1.5643701028927681
8,26,6,1.5622948860488801
61,23,5,1.5421367388279474
12,87,8,1.5065525398064716
27,42,5,1.4043570845053142
111,35,5,1.3577475580023919
151,48,6,1.3091448098495486
115,51,5,1.2880681261582092
124,24,5,1.2804123099875775
123,26,4,1.2490828438192967
95,26,4,1.2472786475858249
6,18,4,1.2424533248940002
137,29,4,1.2324268614976588
143,40,5,1.1977261613182184
23,41,4,1.1822294546024308
148,35,5,1.1814717509169206
153,27,4,1.1788054811891635
35,59,5,1.1786065449672027
102,17,4,1.1407201964134568
134,15,4,1.1369165918330009
60,19,5,1.132647528484726
64,25,5,1.090778470215385
90,43,4,1.090048388519461
62,30,3,1.0882231038287273
113,17,3,1.0368263468339387
152,36,4,1.0274446057428508
28,37,5,1.0249337779407335
85,18,4,1.0139046609345654
19,20,3,1.0104127537805414
77,33,4,1.0035976099480814
65,17,3,1.0027399543973452
91,53,5,1.0006538209061786
25,25,4,0.9937390880265915
96,35,4,0.9896796161368928
17,43,4,0.969092304665008
5,22,3,0.9666748303197918
41,25,4,0.9500028724426169
114,16,3,0.9470571522825082
139,22,3,0.9369181202504688
117,27,4,0.9157588374531546
103,50,5,0.9073105693419516
97,33,4,0.9013708189216756
110,54,4,0.9000139055939772
138,55,4,0.8989456838801746
122,48,4,0.8877226716039258
69,60,4,0.880043522085187
107,27,3,0.8655013604939207
94,26,3,0.8653649791626999
105,16,3,0.8647400965276372
131,21,3,0.8468143807325634
66,39,3,0.8422614248715934
0,20,3,0.818808456222877
93,29,3,0.8167753243474006
46,32,3,0.8064769418829218
145,23,3,0.8058274790573101
3,20,3,0.8018185525433373
24,21,4,0.8000458530531239
53,17,4,0.7902347553432827
29,44,4,0.7834371563401314
38,18,3,0.7777899315559316
51,16,3,0.7774621319109288
54,40,6,0.7349459978480956
63,19,4,0.7335417487636489
82,54,5,0.722468222667673
21,92,6,0.7097660883366513
72,19,3,0.708018976056273
118,16,2,0.6931471805599453
67,21,2,0.6920129648318738
42,17,2,0.6914160776171183
75,26,2,0.6901856760188042
147,58,2,0.6877868229921127
99,20,3,0.6874357505033553
30,65,3,0.6866234053213427
98,28,3,0.6648642241909106
81,39,4,0.6642802492620732
33,48,5,0.6598082630627636
20,20,2,0.6474466390346325
57,29,3,0.6415082861254431
9,15,3,0.6277052571971504
149,19,2,0.6236548495681085
106,16,2,0.6210863745552451
136,68,4,0.6192801981342502
100,24,3,0.6159905783211985
127,32,3,0.6150342641411843
78,23,2,0.6145033203107282
26,17,3,0.5783252866601273
7,17,3,0.5783252866601273
43,19,2,0.5763341277567499
40,59,4,0.5742915937300174
79,27,4,0.5735160760972796
154,36,3,0.5723484972067745
104,49,4,0.5642580622709209
34,46,3,0.559834325921902
116,29,2,0.5526646224944003
70,29,2,0.5526646224944003
48,25,2,0.5510799280869728
44,24,3,0.5442837329694393
144,35,3,0.5353832434386065
73,18,2,0.5297061990576545
101,20,3,0.5181862130502128
56,15,2,0.5004024235381879
121,25,2,0.5004024235381879
58,22,2,0.47413931305783735
37,23,3,0.4702359623552492
39,40,2,0.4637264398194103
45,29,2,0.45969301996850176
50,24,2,0.45056120886630463
11,39,3,0.44711458763146567
68,46,4,0.44706983994820476
18,17,3,0.4437572842601484
10,33,3,0.43749495735702343
76,19,2,0.4361623253853443
128,19,2,0.4361623253853443
32,45,3,0.4044323651250529
36,29,3,0.3984405075837697
125,15,2,0.39267446722755217
142,15,2,0.39267446722755217
120,56,2,0.37677016125643675
119,70,2,0.355382896246011
133,28,2,0.3404997784712986
47,28,2,0.3404997784712986
141,22,2,0.30463609734923813
108,23,2,0.2954391918721161
126,72,2,0.2868359830561607
1,25,2,0.2787693717685874
92,15,2,0.24493002679463532
49,31,2,0.23921709381651282
14,36,2,0.2145591551764051
84,18,2,0.2145591551764051
140,19,2,0.20619205063323187
150,39,2,0.20227300179743635
87,42,2,0.19144408195771734
109,22,2,0.18490739916777568
74,27,2,0.15841057013179086
132,31,2,0.1425058673927378
112,47,2,0.10296666046541245
88,19,1,0.0
2,15,1,0.0
22,21,1,0.0
13,20,1,0.0
89,25,1,0.0
4,30,1,0.0
59,27,1,0.0
146,19,1,0.0
15,15,1,0.0
130,27,1,0.0
86,27,1,0.0
16,15,1,0.0
31,26,1,0.0
55,35,1,0.0
83,45,1,0.0
129,17,1,0.0
80,27,1,0.0
135,16,1,0.0
71,19,1,0.0
