rank,thesis_id,cosine_similarity,publisher
1,2595588531,0.3277,DTU Construct
2,2626728686,0.3071,DTU Space
3,2626728686,0.3071,DTU Space
4,2707790601,0.2889,DTU Compute
5,2707790601,0.2889,DTU Compute
6,2613750877,0.2879,DTU Construct
7,2873444628,0.281,DTU Health Tech
8,2873444628,0.281,DTU Health Tech
9,2873444628,0.281,DTU Health Tech
10,2718813911,0.2796,DTU Construct
11,2594525123,0.271,DTU Construct
12,2597151369,0.2699,DTU Compute
13,2727248962,0.269,DTU Construct
14,2708437238,0.2678,DTU Compute
15,2713241706,0.2673,DTU Construct
16,2713241706,0.2673,DTU Construct
17,2604853579,0.2668,DTU Management
18,2689435230,0.2667,DTU Electro
19,2519323207,0.2667,DTU Physics
20,2453439886,0.2663,DTU Electro
